customer_tweet_id,customer_message,amazon_reply,intent
2626391,Major @AmazonHelp #Fail. Super Mario Odyssey didn't arrive on Friday.  Package has a big Saturday sticker on it. Finally arrived on Monday. https://t.co/RwZnwCeIky,"@439294 I'm sorry for the late delivery! To escalate your carrier feedback, please contact us here: https://t.co/hApLpMlfHN ^EA",delivery_shipping
989145,@AmazonHelp könnt ihr mir mal wieder helfen ? Mein Paket sollte zwischen den 10.-13. kommen ist aber nicht da. Warum ?,@158378 Was sagt denn die Sendungsverfolgung? Noch unterwegs oder bereits zugestellt? Viele Grüße ^TR,delivery_shipping
2580520,@AmazonHelp I've got Amazon Prime in Canada but Amazon music app (Android) won't recognize it - help?,@731406 I'm sorry for the trouble while using the app. Have you tried reinstalling it? I also recommend logging out and back in to the app to ensure you're using the correct account. ^RA,prime_issue
227049,@AmazonHelp Why should you asking this bullish #Amazon All details I have shared now act for process @144148 @20542 @115821 @115850 https://t.co/5oCoUMi5q4,@158923 I just checked and we haven't received the details yet. Request you to share your details in the link provided earlier. ^GK,other
2267127,@AmazonHelp @115821 HELP! You delivered the wrong product to me yesterday and need the correct product now,@613974 Oh no! Have you had a chance to checkout available options here: https://t.co/moO8C4Xpsb We'd love to help with this! ^ML,product_help
2276508,Dear @115850 i did load cash to my Amazon pay before .... Now came to know about cash load at door step .... will i get 20% cashback again if I load cash at door step ? @AmazonHelp,"@464610 Could you please help us with additional details or link of the cashback you're referring to, so that we can assist you accordingly? ^MO",account_payment
522448,@AmazonHelp i have a fire tv stick. i want to keep track of current and total space on it. wheres that feature at?,"@213865 Thanks for that clarification! You can view this under settings, through applications. ^HM",product_help
2621037,"@AmazonHelp Non aucune demande particulière, je complimentais votre efficacité ;)",@740589 Ravie d'apprendre que vous êtes bien satisfait de notre service😍.^FT,other
1666550,@AmazonHelp Sent you a DM please check.,@507687 Thanks for the heads up. You'll receive a response soon. ^AS,other
440306,@AmazonHelp What is the reason of blocking my number. @115850 @amazonHelp,"@219482 Please reply to the email you received, we'll get back to you soon. ^PS",account_payment
505748,"@AmazonHelp None of those solutions worked, unfortunately. And now none of the Prime movies have video. I can get audio/video with other apps, though (Netflix, Hulu).",@236014 Let's troubleshoot this in real time. Please call or chat with us here: https://t.co/hApLpMlfHN ^BA,prime_issue
2663270,@AmazonHelp hi. I’ve had a parcel left somewhere local for collection but cannot see the exact location. Can you help please?,@750538 We'll be happy to look into that for you. Please reach out to us here: https://t.co/JzP7hlA23B ^RS,delivery_shipping
2893073,Yo @AmazonHelp how do I report hack if cant sign in,@172665 You can contact us without signing in using this link: https://t.co/pQ5tKC3tZ4 ^LI,account_payment
142857,@AmazonHelp Not able to access the link can you DM me a number.,"@148248 I've enabled DMing for your profile, please DM us first so we can provide the contact info. ^MJ https://t.co/1XyLaGkcaN",other
709963,@AmazonHelp That’s not very helpful. I’ve already done that. And googled it 😂,@289766 We;re still here for you! Please reach out to us by phone or chat to go through this together: https://t.co/JzP7hlA23B ^KJ,other
1127310,"@AmazonHelp I am yes, i have accepted and replied to the message you sent 👍🏻",@385784 We'll send an e-mail once we receive the order &amp; process your refund. Keep us posted &amp; let us know if we can still help! ^KN,other
1436679,"@AmazonHelp Très bien, merci !",@453310 Je vous en prie. Nous restons à votre disposition en cas de besoin. ^SB,other
323357,@AmazonHelp I have shared details in email to Amazon Help..,@193001 You can check the correspondences to your registered email ID here: https://t.co/8DAc10S7ww. Keep an eye for a response.^RS,other
207643,@AmazonHelp ya it's one nation one tax so kindly allow me to use GST of MP to do business from karnataka,@165102 We'd like to take a closer look into this. Kindly contact us here: https://t.co/hITbmQzz2y for further assistance. ^PJ,other
1227289,@AmazonHelp Responded to that email as well,@407903 Thank you for the response. We’ll work on it and get back with an update on it.  ^SB,other
780871,@AmazonHelp Already done. All I get is an e-mail mentioning refund of previous order. I think the priority should be to deliver the promised product😒😒,@306432 We've received your details &amp; our team is currently working on it. You should be receiving an update anytime soon. ^EM,delivery_shipping
2347797,"@AmazonHelp Llevo todo el día esperando un paquete y acabo de recibir un paquete con dos cartones dentro, envío gestionado por Amazon.","@644773 Hola. Sentimos mucho lo sucedido. Por favor ponte en contacto con nuestro departamento de Servicio al Cliente, ellos tienen acceso a tu cuenta y podrán investigar más a fondo que ha pasado. Puedes hacerlo a través del siguiente enlace: https://",product_help
247030,@AmazonHelp That was 24hrs back 2:13 on 06/10..how does it help??,@174678 We are working on the issue. We will revert on it at the earliest. ^SB,other
2179071,@AmazonHelp Sorry guys I don't have time to correspond on what is clearly your fault. Refund and stop harassing me now,@356999 Kindly check the correspondence sent to your registered email ID and reply so that we can take this up &amp; assist you further. 2/2 ^EM,refund_return
2806642,@AmazonHelp @115821 @115851 shipping is really getting bad. I’m looking in to @2300 https://t.co/904JFy1bTp,@277556 I'm sorry to hear your delivery was delayed. Did you check the tracking status on UPS for a reason regarding the delay? ^SY,delivery_shipping
1004535,@AmazonHelp Non sur ordi il me demande le code en plus et je suis co. Mais la a chaque fois faut que je trouve un ordi :(,@357767 Avez-vous mis a jour l'application ? ^ME,product_help
1385483,"@AmazonHelp says 📦 delivery attempted, but I've been sitting here -- no knock! Will they try again b4 9p?",@442411 We're sorry to hear this! We'd like to help any way we can; who is the listed carrier for this order: https://t.co/Y5jpI9ys9c? ^WM,delivery_shipping
676971,"@AmazonHelp 24-48h un po' troppo considerato che mi serviva domani, avevo appena rinnovato prime apposta!",@281490 Mi spiace! Il nostro Servizio Clienti resta a tua disposizione. A presto! ^FS,prime_issue
225043,@AmazonHelp How many times do I have to do this?? U people are totally useless,@169762 the link shared here: https://t.co/NTkrxpsbHJ (2/2)^HR,other
1706264,"Das nächste Mal doch lieber mit Optimus Prime liefern, läuft dann sicher auch besser @AmazonHelp. #AmazonLogistics https://t.co/QbPiSyZsk4","@437236 Wenn die Sendung auch morgen nicht kommt, melde dich hier https://t.co/va1VRoK7GS und lass meine Kollegen prüfen, was los ist. ^DS",delivery_shipping
987414,@AmazonHelp What is the best way to do this?,"@353971 Hi John, please ask your daughter to contact Amazon.de customer support via this link: https://t.co/1uLlokZkjT ^TS",other
2837060,@AmazonHelp Hello why are prime deliveries taking 3 days please.,@789626 I apologize for the longer than expected wait. Here's some details that should help: https://t.co/E6PBNYlsiO. Let us know if you have any other questions or concerns! ^CS,prime_issue
546388,"@AmazonHelp I’ve emailed, thank you.",@247051 Anytime! Let us know if you have any other questions or concerns. We are here to help! ^AL.,other
2540382,@AmazonHelp none as of now...thnx !,@722079 You're welcome. We'd be pleased to assist you for any further queries. Please keep us posted. ^BS,other
2301878,What do I do if I need to return an item @AmazonHelp but I don't have a printer &amp; their no drop off places by me 🤔,@255943 You can use a public printer at a library or such to print out the label. I hope this helps! ^TR,refund_return
2474861,@AmazonHelp iPad 2 and iPhone 7,@707543 Thank you for clarifying! We would like to look into this in real time. Please reach out to us when you have a moment here: https://t.co/hApLpMlfHN. ^AL,other
472290,@AmazonHelp Just went through to the account dunno what you want me to do here tbf,"@227480 If you enter the information describing the problem you'll be given the option to request a call, send an e-mail, or start a chat. ^GR",other
2311795,"Hello @AmazonHelp ,  Recently I've had TWO packages lost in transit.  Both were shipped via your shipping company (AMZL US).  If I reorder, can I select UPS as the preferred shipper?  I never had an issue with deliveries when you shipped using @115817",@382940 I'm so sorry to hear you have had delivery issues! We would like to look into this further. Please provide your details here: https://t.co/COi6wIVr4Z ^RO,delivery_shipping
