tweet_id,text,response_tweet_id,intent
1055385,"@AmazonHelp This is the issue I should have - but on my Kindle and Amazon digital store, u only have last week's. #thissucks
https://t.co/eV2uXK1004",,product_help
1128030,"@AmazonHelp U have denied the refund , else consumer court is only option left for me. Why u r not providing ur address for legal proceeding",1128028,refund_return
679898,@AmazonHelp I am sick of insincere apologies and mealymouthed excuses. I am sick of having to chase and complain. #fail #cxfail,,other
479373,@AmazonHelp Can someone from customer service contact me or give me a number to call back please,,other
2386381,@115850 @AmazonHelp I have paid postpaid bill from amazonpay and the amount was debited from the A/C (1/2),2386380,account_payment
174505,@AmazonHelp hello guys I wanto ask you when I order a magazine what does single issue mean? a simple issue of the magazine,174504,other
1277132,@AmazonHelp Just check chat with ur customer care for order 407-8372592-2764368,"1,27,71,34,12,77,135",other
1480136,"@AmazonHelp email just said package delay and refund my shipping charges. last tracker update on Oct 21, still at Amazon facility, Avenel",1480138,delivery_shipping
433003,@AmazonHelp had a chat with your customer executive and have been promised a delivery by 5:00PM tomorrow,433005,delivery_shipping
318028,"@AmazonHelp Thanks, but doesn't help if you wish to watch or download new movies :-(",,product_help
814291,@116618 @AmazonHelp When will be available to watch Mr Robot season 3 in Colombia?,814289,product_help
2600791,@AmazonHelp Sigh. My replacement fire game controllers are late and customer service is being so helpful. #notreally #ugh https://t.co/uBKrefKxUt,,delivery_shipping
840874,@AmazonHelp What is this?? Order still not delivered for yours kind information. https://t.co/0FzpuBfguN,840872,delivery_shipping
69828,"@AmazonHelp Don't worry about it, I really can't be bothered. It's a *recurring*, clearly systemic issue...",69829,other
1191359,@AmazonHelp ツイートありがとうございます。早速問い合わせしてみます。,1191357,other
1223197,@407008 @AmazonHelp  https://t.co/gt7dxdDvVl,,other
227439,"@AmazonHelp Query ,I have paid Prime Membership up to Oct 2018,now I get 1 year membership with echo dot. Will it extend from October 18 to October 19?",227441,prime_issue
1738971,.@12339 sends back package to @115850 while in transit saying customer refused delivery! Its still 90km away from destination city! #ridiculous @115821 @AmazonHelp https://t.co/VOLLprvLa5,"17,38,97,21,73,89,73,10,00,000",delivery_shipping
317479,@AmazonHelp No..I've followed all instruction...router off etc... still stuck in reboot cycle,317481,product_help
57460,@AmazonHelp There is no option to hide Pantry products from Prime searches. This is annoying and scammy behavior.,57459,prime_issue
2874087,"@AmazonHelp By the end of the day, but I have to sit here hoping things are going to be delivered, if they are not, I’ve wasted a days holiday",2874088,delivery_shipping
341295,"@AmazonHelp アドバイスありがとうございます
もう返品のために送り返しましたので、大丈夫です",341296,other
1234181,@409476 @AmazonHelp Jajaja,,other
1179674,@AmazonHelp Original estimate was the 23rf https://t.co/ppGE077LuL,1179676,delivery_shipping
2702051,@AmazonHelp Yes been on the phone twice now. both times told need to wait while someone else looks into it.. sick of the lack of progress if im honest,,other
584583,@AmazonHelp Arriving tomorrow. Was ordered on 26th Nov. To be delivered on 29th. Never arrived. Then told the 30th. Never arrived. Then told the 1st. Never arrived. Then told 3rd. Didn't arrive. Poor service Amazon.,584585,delivery_shipping
2261693,@AmazonHelp Oui. Et ils me répètent que le colis sera livré demain. Sauf que demain c’est trop tard.,2261694,delivery_shipping
72228,@AmazonHelp 今度は普通に届きました！ありがとうございます。,72229,other
2254569,"@AmazonHelp ohhh and in the SECOND mistake of the night a customer service employee implies I'm lying to him! 

If you're having transport issues and can't do next day delivery this needs to be updated https://t.co/sds0Yy8LDK",2254568,delivery_shipping
2873356,@AmazonHelp Yes I have! &amp; still looking at more deals. 🤗,,other
1761335,@AmazonHelp Happening on multiple different devices,1761336,product_help
1279029,@AmazonHelp It's a digital code (Which I think will be emailed to me rather than posted??). Game releases tomorrow 27th Oct. Will I get a physical code? https://t.co/ZIB9k1vdtF,"1,27,90,31,12,79,032",product_help
2600259,"@AmazonHelp Si, también con compra mínima de $2500...",2600261,other
2571320,"Hey, @AmazonHelp, a way to get your Flash Briefing played on several Alexa devices at once so it follows me from bathroom to kitchen? Thx!",2571318,product_help
2847303,@AmazonHelp Thank you. Comment now submitted.,,other
477746,Hey @8809 did you know @115821 ships your products as shown on the linked photo when buyer is not home ? @AmazonHelp 👏👍 https://t.co/h6UmVR91Tn,477744,delivery_shipping
2924609,"@AmazonHelp Made a purchase at the same time for 2 items Mon. Notified 1 was shipped, went to track the other and it said “this was cancelled”. However, i didn’t cancel it. I received a confirmation that it went through and it gave me est arrival da",2924611,order_issue
2718043,@AmazonHelp yes,2718045,other
528276,"@AmazonHelp Contact Hermes, who have done nothing. No timescale for delivery no information. All Amazon have said is wait til Tuesday and then contact. So much for Prime",,delivery_shipping
815478,"@AmazonHelp So basically, I just want an email address or a postal address that I can submit a formal complaint to, please.",815481,other
915404,"@AmazonHelp Hi
Incomplete order. 1 item instead of 3. Someone from Amazon help has now contacted me. Thank you 😊",915406,order_issue
2725911,"@AmazonHelp after speaking with 3 customer service agents, the last lady was helpful and my issue was resolved. Thank you for following up",2725913,other
832727,@AmazonHelp @13142 @115851 @115851 u r the richest person in the world and a CEO of the best known organisation as ur customer I m requesting u to help to resolve.,"8,32,73,48,32,735",other
292287,@AmazonHelp is this much packaging really necessary?  The one box would have been fine. https://t.co/blxldzHwl7,292286,other
158667,@AmazonHelp I did for the bb cream.. Not for the eyeliner..   They gave me some amazon credit balance which was hardly for 2-3 days..  I wonder y the cosmetics things are not genuine... It can have several implications..,158669,product_help
1574273,@AmazonHelp I will also cancel my prime membership as no point going through unnecessary frustration.,,prime_issue
169472,"@AmazonHelp Mhm I haven’t received an email yet, but if I’m not mistaken if the payment was taken out of my account does that mean it’s in the shipping process or has shipped already ?",169471,order_issue
199979,@AmazonHelp you have my condition for the return in the first tweet itself. Fulfill it then we will talk,199978,refund_return
481585,@AmazonHelp They are the same seller!,481587,other
132553,"@AmazonHelp Bestellaufgabe war gestern. Versand erfolgt aus eurem Versandzentrum in Tschechien. Was ist denn aktuell der Grund? Ich finde kaum Artikel, die via Prime vor Dienstag lieferbar sind. Streikauswirkungen?",132555,prime_issue
2841919,"@AmazonHelp Ah, die schaltet die DHL dann erst frei. Würde sich oben besser machen als rechts.

Hm, das könnte einiges erklären. Ich prüfe das.",2841920,other
535036,"@AmazonHelp ""Nous rencontrons des difficultés dans le traitement du règlement de votre commande. Nous vous invitons à vérifier le type de carte que vous avez saisi, les quatre derniers chiffres ainsi que la date d'expiration de celle-ci, l'adresse de ",535039,account_payment
2881984,@AmazonHelp I’ve got an order which never arrived to an amazon locker and another which is supposed to be being returned but I haven’t had any updates.,2881983,delivery_shipping
